@format=row	BXD34	BXD73	BXD90	BXD39	BXD48	BXD50	D2B6F1	BXD51	BXD88	BXD48a	BXD102	BXD68	BXD100	BXD70	BXD67	BXD65b	BXD101	BXD95	BXD11	BXD73b	BXD53	BXD24	BXD60	BXD86	C57BL/6J	BXD32	BXD40	BXD65	BXD77	BXD63
X4.Hydroxystyrene	18507.2	8570.5	16633.0	25023.0	9972.333333333334	10172.0	10547.25	11827.0	10120.166666666666	10860.25	13828.0	8237.5	13184.375	9080.333333333334	8488.0	10110.25	10935.0	8562.5	11573.25	8102.0	8416.0	9105.5	8807.0	10241.75	10599.5	14010.666666666666	9365.5	13494.0	11065.5	12876.25
Niacinamide	27692.7	66202.5	19841.5	52266.5	19852.166666666668	22373.5	17688.75	32378.5	25356.166666666668	38516.75	23894.75	31198.0	26771.125	24766.833333333332	26993.25	23393.125	43687.0	19278.0	23686.75	41841.0	20366.25	23869.75	23211.0	20716.0	33811.0	30629.333333333332	27389.75	23380.0	24146.75	20807.25
Nicotinic.acid	9198.5	8648.5	6576.0	12049.5	6844.166666666667	6744.0	6691.5	6309.0	7235.333333333333	7136.0	7530.0	6719.0	7034.125	6524.0	6811.5	7091.625	7299.0	5238.0	7485.5	7734.0	9352.25	6861.25	7320.25	6661.25	7669.5	12958.333333333334	7567.5	8479.5	9680.25	8944.5
X2.Hydroxyethanesulfonate	33554.9	73132.5	53689.0	51206.5	57318.833333333336	78286.0	91955.75	85029.0	58567.333333333336	67792.5	81954.75	68578.5	81290.5	61658.833333333336	65002.75	56325.875	62844.0	73638.0	74763.25	66727.5	22676.0	91663.75	71573.75	94844.25	28352.0	62168.333333333336	49122.75	57931.25	51659.0	82704.75
D.1.Piperideine.2.carboxylic.acid	4754.4	4630.5	3050.5	6225.5	3951.5	5325.5	3808.75	4483.5	4637.833333333333	5745.75	5483.5	4631.0	5920.75	4020.1666666666665	6241.5	3742.375	4820.5	3520.0	8171.5	5662.5	4982.5	4116.75	5491.25	4007.25	5297.166666666667	11546.0	5345.75	8578.75	7629.25	6293.0
Dihydrothymine	150855.0	315332.0	164984.5	118418.5	114395.0	124272.5	95578.0	107687.0	138611.66666666666	117376.25	196155.25	192258.5	164061.25	92925.0	152189.25	108598.0	169464.5	166517.0	111476.75	205060.0	159818.0	136916.75	193578.5	131091.0	162796.66666666666	155651.16666666666	110318.0	153969.5	107566.5	133993.75
Pyroglutamic.acid	393114.8	366497.5	237355.0	492233.0	236767.5	227759.5	177996.25	246644.0	296727.8333333333	267708.5	361567.5	353402.0	332665.375	239157.33333333334	336183.25	214492.5	233603.5	303124.0	265331.75	357647.0	328830.75	293778.5	402731.5	226489.0	324954.1666666667	443999.3333333333	255329.75	310991.75	490482.5	261356.5
Pipecolic.acid	5520.0	6992.0	13349.5	5765.0	5760.833333333333	4682.0	5729.25	6540.0	6286.333333333333	7944.0	8806.75	5463.0	9982.875	5182.5	5222.25	6235.375	5636.5	6109.5	7465.75	6649.5	4435.75	4477.25	6914.25	6021.75	6818.5	7828.166666666667	6900.0	6810.75	6634.75	5052.75
Heptanoic.acid	6089.9	4236.0	5282.5	6011.0	5573.666666666667	5053.5	6495.75	5141.0	5745.166666666667	5228.5	5422.0	4186.0	4741.625	4827.833333333333	5010.75	4938.75	6355.0	4399.0	6093.25	5433.5	5058.5	3884.0	5019.5	6975.75	4984.0	5447.5	4814.0	5515.25	6540.0	5150.25
Hydroxyproline	8831.5	6483.0	13994.5	15092.0	8370.833333333334	10118.0	6528.75	6590.5	8277.666666666666	10276.25	11788.5	6378.0	14324.125	6427.833333333333	7412.0	6008.625	9422.0	10052.5	10242.5	7148.5	10007.5	6823.75	9291.75	6827.75	10381.666666666666	20999.166666666668	12451.0	10057.25	13164.5	8555.25
Creatine	8237.4	9853.0	8477.5	5716.5	11456.833333333334	5747.5	5924.75	4243.0	7412.5	6044.25	9764.5	4761.5	11041.75	5290.0	5913.0	5372.25	8753.5	6607.0	10750.0	6778.5	9263.0	5733.0	7422.75	7106.5	10095.833333333334	7518.166666666667	6291.5	6746.0	6430.25	7091.5
L.Leucine	1510432.4	448136.5	527459.5	1859499.5	412123.1666666667	350437.0	304815.5	296821.0	369613.6666666667	565380.0	379201.75	343209.0	412746.375	335709.5	443267.25	313957.625	604289.5	282081.5	550789.25	271444.0	372109.25	292591.5	322949.75	314670.5	368935.8333333333	1742526.1666666667	304562.25	783529.25	572943.5	613570.5
Ethylmalonic.acid	437108.9	33270.0	27851.0	46859.5	20797.0	20121.0	21731.75	16289.0	32378.166666666668	21671.75	30415.5	597402.5	156569.0	23307.666666666668	20665.75	26420.5	26671.5	19688.0	23298.5	20280.0	31946.5	18306.0	36410.25	18942.25	23002.333333333332	28522.333333333332	25042.5	25607.75	29636.25	27927.5
L.Asparagine	97618.9	24605.5	22620.5	126739.5	14634.666666666666	15671.0	11036.75	10658.5	18843.833333333332	14940.5	17816.0	48391.0	25972.375	12853.166666666666	13152.25	13176.25	23054.5	17785.0	14399.75	16556.5	18548.75	12717.5	18493.0	13085.75	15614.666666666666	17667.833333333332	12571.5	15053.0	16955.5	17754.5
X2.Hydroxy.3.methylpentanoic.acid	5503.4	4287.0	9249.5	7693.0	4640.333333333333	3506.5	4734.0	3514.0	4727.833333333333	6873.0	4968.0	4531.5	5539.0	4183.833333333333	3929.75	4876.25	3997.5	3003.0	6640.0	3903.5	4857.5	3439.0	4209.5	4381.0	5404.833333333333	17076.333333333332	4183.75	10981.5	6055.0	6371.0
L.Aspartic.acid	155990.9	124415.5	52277.5	126249.0	60854.833333333336	53066.0	36300.0	76694.0	119725.5	64042.75	61696.5	80912.0	105158.875	68751.33333333333	94661.75	40798.25	84508.5	66207.0	66286.5	79306.0	53560.75	62933.0	90782.75	50240.5	49469.666666666664	76689.66666666667	54896.5	55418.75	62520.0	69567.5
L.Malic.acid	263545.3	632885.5	264572.5	523570.0	244580.0	247948.0	116054.5	319673.0	187192.33333333334	304683.5	375688.75	444209.5	425914.375	244768.16666666666	234873.25	193959.5	232129.5	320952.5	246844.0	413123.0	278182.75	218830.75	294463.25	175159.75	219779.5	301900.0	130942.0	252948.5	327169.5	234093.5
Deoxyribose	4001.6	3613.5	3236.0	6633.5	2836.5	2528.5	2964.75	2463.0	2692.6666666666665	2979.0	3082.25	2689.5	3184.125	2633.0	2612.75	2447.875	2827.5	2381.0	3153.5	3302.5	2466.75	2415.25	2572.5	2278.0	3895.8333333333335	5467.5	2823.25	2782.75	3882.0	2561.75
Adenine	279643.9	486371.5	1685653.0	114526.5	523808.5	622852.0	458300.75	586871.0	637869.8333333334	1083877.25	1331173.0	1216612.5	1266987.375	857009.8333333334	689545.0	1152306.125	1370592.0	819482.0	893707.75	997158.5	682548.5	1267373.75	1104029.75	1405626.0	1814572.6666666667	757432.5	1891431.5	979692.25	653224.0	753883.0
X.R..Amphetamine	348.8	407.5	1782.5	430.5	445.6666666666667	449.0	452.5	506.0	491.8333333333333	1124.0	1120.0	1161.0	1142.5	744.0	510.0	1093.375	1608.0	687.0	934.5	876.5	576.25	1230.25	1033.5	1473.25	4556.0	640.3333333333334	3226.75	913.0	653.0	811.5
X2.Methylerythritol	1291.0	2882.0	3049.5	4590.0	1778.0	1537.0	1368.0	1814.5	1817.5	2335.75	2327.0	2798.5	2436.75	1873.0	1820.5	2418.75	3671.0	1515.0	1786.75	2791.5	1622.25	2433.0	2424.25	2386.0	2650.0	2536.3333333333335	3758.5	2240.5	2478.25	1790.75
Tyramine	2302.2	1264.5	996.0	2409.0	3531.0	1409.5	1890.25	1213.5	1603.5	17257.75	1502.5	1452.0	1568.75	1791.6666666666667	6953.0	1491.0	1697.0	1039.0	31837.75	1470.0	5582.25	1589.75	1485.25	1647.75	1497.3333333333333	166724.33333333334	1948.5	2911.5	21567.0	2936.0
X3.4.Dihydroxybenzylamine	25975.7	8629.0	6507.5	29466.5	9005.333333333334	7457.0	7242.5	8233.0	8693.333333333334	8797.0	9007.5	8795.5	8169.875	8433.666666666666	8645.5	8433.25	9168.5	6966.5	7769.75	9529.0	9394.75	7680.5	9601.5	7346.25	8699.5	9924.333333333334	9420.25	10258.25	17090.75	9185.0
