@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
Chitobiose	1651.0	3230.25	2038.0	2302.5	6193.0	2552.875	2765.5	1671.75	2516.5	2697.0	2000.625	5700.5	6208.0	1619.25	2852.25	9603.166666666666	1701.642857142857	7246.5	5615.0	2357.5	1664.6666666666667	4143.0	2264.0	4514.625	1695.25	5372.0	3387.5	3367.3333333333335	4157.5	3888.5	2070.8333333333335	1516.1666666666667	5292.642857142857	2329.0	5403.75	3092.75	4997.5	2573.0
ADP	32352.0	43772.75	46577.5	25482.5	96170.0	80909.0	10864.0	83189.75	24351.0	61568.0	110225.25	80554.8	87592.6	166238.75	72317.125	128196.83333333333	119586.0	119700.0	113810.5	140008.75	115335.16666666667	151757.5	178135.5	81576.25	71182.25	64741.5	81984.5	109128.33333333333	130409.5	258130.75	64482.666666666664	161534.5	149812.07142857142	119534.0	75829.75	114790.08333333333	80822.5	131750.5
Ketoprofen.glucuronide	2160.0	1294.5	5013.0	3495.5	3060.0	2700.75	10624.5	1486.5	1861.5	3062.25	2050.875	3731.4	2839.6	1915.5	4652.0	2299.8333333333335	1810.0	3616.0	4176.5	3715.75	2426.1666666666665	2202.0	2312.5	2473.625	1970.25	2952.0	2988.0	3518.3333333333335	2817.0	2712.5	3891.0	2487.3333333333335	3428.1428571428573	2623.1666666666665	2305.0	2653.6666666666665	5298.5	2877.0
X17.Hydroxypregnenolone.sulfate	2194.0	5407.0	2131.0	2166.5	3683.0	3828.5	2605.5	3030.0	3602.5	4703.0	2548.0	4771.5	2659.2	2783.75	3405.0	4461.333333333333	2401.9285714285716	6827.0	2481.0	2412.0	3180.5	2720.25	2303.0	3627.0	1963.75	4692.5	3090.8	3084.0	4658.5	3526.75	3149.0	2673.5	3864.5714285714284	3034.6666666666665	3400.25	3722.4166666666665	3018.75	3263.5
X3.5.Diiodo.L.tyrosine	13343.0	2575.75	3082.5	2933.5	2306.0	2622.5	2487.0	2461.25	3462.5	2515.0	2483.25	2571.0	2745.7	3163.75	2605.5	2522.3333333333335	2388.6428571428573	2402.5	2090.0	2446.5	2395.5	2502.25	2811.0	2609.5	2616.25	2381.5	2322.3	2479.1666666666665	2827.5	2241.25	2668.8333333333335	2409.8333333333335	2608.785714285714	2530.8333333333335	2977.125	2671.1666666666665	2615.75	2374.5
LysoPhosphatidylcholine.with.formula.C21H39O7P	1503.5	5236.0	6660.0	4186.5	5278.0	4641.5	4157.0	5182.5	3146.5	6352.75	10731.0	12902.3	5909.7	5451.0	6083.375	11756.333333333334	9761.357142857143	9788.5	8087.5	7111.5	5989.166666666667	5928.75	6274.5	7406.125	9076.5	9810.5	13376.4	7309.666666666667	5309.5	6019.0	9707.833333333334	12183.166666666666	7907.714285714285	12673.333333333334	8241.0	11213.583333333334	12126.75	9644.5
PE.P.16.0e.0.0.	911.5	1768.0	2034.0	1861.5	2120.5	2562.875	2479.5	2889.0	1474.0	7943.75	3610.875	3143.6	2220.4	2726.25	3454.25	4787.333333333333	6231.857142857143	4040.0	3057.5	3474.75	2901.1666666666665	2056.0	4248.0	3266.25	5125.25	2079.0	2373.6	2859.8333333333335	1886.5	5773.0	2494.3333333333335	8432.666666666666	3943.8571428571427	10066.5	3742.375	3958.25	9281.5	6744.5
MG.24.1.15Z..0.0.0.0.	3259.0	1997.75	2090.5	2131.5	2422.5	2102.75	1741.0	1919.25	2967.0	4064.5	1682.25	2208.9	2107.3	1839.25	2237.75	1998.6666666666667	1679.7142857142858	2640.5	1518.5	1994.75	1917.3333333333333	2161.75	2200.0	2527.125	2049.25	2528.5	2349.7	1985.6666666666667	2311.5	1931.5	2406.8333333333335	2090.8333333333335	2281.5714285714284	2474.8333333333335	2733.0	2363.25	2570.5	2306.5
Se.Adenosylselenomethionine	2073.0	973.75	1652.0	1190.5	1630.5	2435.625	2248.0	817.75	1135.0	4842.0	1542.875	1677.7	1547.5	1454.0	2066.875	1330.1666666666667	1763.2142857142858	1688.0	1564.5	1690.0	2931.3333333333335	1707.75	1536.5	1401.375	1326.5	1485.5	1118.8	1476.5	1880.0	2748.0	1527.6666666666667	2973.3333333333335	1610.4285714285713	1930.8333333333333	1532.0	1620.5833333333333	4363.0	3052.5
Chenodeoxyglycocholic.acid	3396.0	8346.75	2297.0	2135.5	1926.0	2333.875	1872.5	5659.75	3071.5	3193.5	1877.125	2422.5	2662.2	2198.25	2729.125	7165.0	3807.3571428571427	10846.0	2524.0	2381.0	5881.666666666667	2442.5	1875.5	3003.5	2370.0	3888.5	3900.8	3304.6666666666665	2758.5	3100.75	4558.833333333333	2469.1666666666665	3289.5714285714284	2807.3333333333335	2443.625	4022.25	2633.25	2431.0
