@format=row	BXD65b	BXD53	BXD100	BXD66	BXD73b	B6D2F1	BXD40	BXD61	BXD51	BXD77	C57BL/6J	BXD67	BXD98	BXD73	BXD70	D2B6F1	BXD89	BXD63	DBA/2J	BXD29	BXD32
Arachidonic.acid	34710.0	8960750.5	357045.0	260950.0	942697.75	1585443.1666666667	311793.0	1421659.0	1100403.0	315679.25	1359353.119047619	1205281.5	694164.5	805061.1666666666	380390.25	661094.3333333334	2835038.0	1742352.0	692551.6666666666	650458.3333333334	2024230.5
Corrinoid	2402.5	3728.0	3164.5	3141.0	3492.75	2510.1666666666665	6513.0	3005.5	3249.5	2835.75	3794.404761904762	3570.5	3883.0	3588.0	2551.0	3355.0	4566.5	4342.5	4715.5	4666.5	4501.75
Glutathione	43569.5	129659.5	240422.5	3557221.0	114875.75	519614.1666666667	2518497.75	123511.0	85756.5	575922.0	1527917.5476190476	185083.5	159592.5	718974.0	298806.0	924783.3333333334	200272.0	1789469.75	182179.33333333334	202790.66666666666	98148.25
Eicosadienoic.acid	9342.0	197971.0	19548.5	22742.0	42396.0	64483.5	35788.25	112952.0	37452.0	29016.5	222980.45238095237	35937.5	32660.5	39377.833333333336	33893.0	37790.0	109498.5	99088.0	44749.333333333336	60873.5	80807.75
Androsterone	1923.5	12276.5	11185.0	7687.0	14297.0	41738.833333333336	6801.0	20607.0	12628.0	8104.5	20009.119047619046	11033.0	11252.0	12880.5	8393.5	21204.333333333332	17591.0	20633.5	8522.833333333334	16591.666666666668	18919.25
X3L.7D.11D.Phytanic.acid	27920.0	21638.5	17726.5	29273.0	19666.0	24418.5	34343.0	30113.5	22914.0	26419.5	64267.09523809524	26608.0	26569.5	23488.333333333332	38478.5	23536.833333333332	33368.0	28313.25	27385.0	30285.833333333332	32202.0
D.4..Phosphopantothenate	1998.5	5921.5	41387.5	52875.0	16945.25	32236.333333333332	17742.5	14711.0	10563.5	10854.25	12628.5	17712.75	16990.5	15696.333333333334	17826.75	19795.166666666668	19940.5	29247.5	10235.0	22930.833333333332	7457.25
X3a.20b.Pregnanediol	792.0	2294.5	565.0	591.0	1038.75	1557.5	1020.75	1627.5	931.0	769.5	2896.9523809523807	1051.0	871.5	906.5	938.75	996.0	2364.5	1545.25	1077.3333333333333	1369.5	1575.75
X15.S..Hydroxyeicosatrienoic.acid	2557.5	20957.0	4288.5	3797.5	6288.75	4947.0	5198.25	6788.5	4625.0	3970.75	7348.119047619048	6039.5	6755.5	4898.5	9936.75	5671.0	11972.5	8030.5	7503.5	8059.166666666667	6381.25
Cytidine.monophosphate	4784.0	10832.0	27258.5	16266.5	19924.5	19599.0	18183.0	23343.5	18672.0	16740.75	32004.333333333332	49247.5	30675.0	32289.5	19777.25	21165.333333333332	23631.0	23925.0	21656.333333333332	31510.166666666668	20193.0
Linoleoyl.ethanolamide	354.0	1070.5	368.5	471.5	488.75	736.3333333333334	514.25	930.5	552.0	536.0	644.547619047619	559.75	843.0	608.1666666666666	739.25	622.8333333333334	1083.0	984.75	778.0	656.3333333333334	814.25
X5..Carboxy.gama.chromanol	862.5	3260.5	1204.5	3484.5	2400.0	1303.6666666666667	3193.5	1808.0	1866.5	1747.25	2869.6666666666665	1772.5	1801.0	1525.8333333333333	2128.75	2212.5	1550.0	2230.5	2110.1666666666665	1996.3333333333333	2801.25
N.Oleoylethanolamine	484.5	1581.0	855.5	797.0	918.5	1520.6666666666667	852.75	1197.5	1083.0	989.5	1129.1904761904761	1034.0	1085.0	944.0	1100.75	842.0	1862.0	1215.0	1083.3333333333333	1018.8333333333334	1320.75
Zolpidem	1683.0	7158.5	3450.5	5441.0	2034.0	3176.6666666666665	4755.75	2439.5	2775.0	2784.5	3457.8809523809523	2476.25	3771.5	3071.0	2890.0	2829.5	3851.5	3956.25	3278.1666666666665	3052.5	4628.75
Docosahexaenoic.acid	20214.0	4418915.0	154625.5	149293.0	413286.5	656605.6666666666	168046.25	1014805.5	401470.0	201549.0	772332.5238095238	816343.25	334940.0	506883.3333333333	196281.75	427046.8333333333	1027968.0	1060942.75	370119.5	419740.8333333333	1299937.5
Carnosol	1568.5	5009.5	2560.5	2749.0	3540.0	2519.1666666666665	5596.5	3164.0	3150.0	2663.25	3553.0714285714284	3660.0	3792.0	3263.1666666666665	4059.0	3042.8333333333335	3856.5	3861.5	3938.6666666666665	4699.333333333333	6788.0
Docosapentaenoic.acid	4134.0	567341.5	21284.0	20196.5	53554.0	119891.83333333333	28573.75	123435.5	84063.0	28920.25	274566.40476190473	59606.25	53163.0	55143.333333333336	43395.25	49237.333333333336	151745.5	151266.0	50649.333333333336	66838.16666666667	168154.75
Adrenic.acid	2732.0	336570.5	21722.5	16273.0	53350.0	136472.66666666666	22520.25	121716.0	75546.0	20195.25	204313.45238095237	45958.0	36657.5	43521.0	50710.0	41144.833333333336	144191.0	89403.0	46310.0	62919.0	124233.0
Cetoleic.acid	3059.0	4731.0	2283.0	2956.5	3073.25	3555.3333333333335	5763.0	6992.5	4029.0	4058.5	18602.071428571428	3672.75	4935.0	4038.6666666666665	5858.5	4504.333333333333	6780.5	7237.5	5382.333333333333	7126.0	7169.25
Behenic.acid	10941.0	7244.0	6710.5	10704.0	6938.5	8209.0	12609.0	10127.5	8341.0	8507.0	14618.309523809523	10016.25	8770.0	8441.333333333334	11706.0	8235.833333333334	12201.5	9483.75	8925.5	9877.0	12052.5
Lactosamine	766.0	9227.5	1693.0	1305.5	1615.0	1313.5	1433.75	1792.0	1731.0	1321.25	1287.2380952380952	1438.0	1952.5	1377.3333333333333	1315.0	1147.0	2066.0	1286.0	1831.5	1796.1666666666667	1869.75
Clotrimazole	1569.0	3776.5	8501.5	1794.0	1787.25	5784.5	3742.25	2351.5	2367.5	7021.5	3001.404761904762	3129.0	2128.5	2253.0	2043.75	5275.333333333333	2980.5	1989.0	2749.5	2594.0	10213.75
Adenosine.monophosphate	44508.0	58405.5	1162882.0	1591962.0	1739868.25	2049227.8333333333	536269.75	224633.0	69947.5	426393.0	541440.7142857143	440498.75	156744.5	694218.8333333334	817947.0	1434171.0	136606.5	58111.25	470553.5	879176.6666666666	65581.5
Anandamide	329.0	623.0	747.5	1320.5	1057.75	1465.8333333333333	871.75	686.0	558.5	564.25	693.0	626.0	886.0	862.5	881.5	953.3333333333334	1221.0	774.25	740.5	874.3333333333334	791.75
Inosine.2..phosphate	12293.0	20949.5	48501.0	155178.5	66107.25	95422.0	90904.5	36429.0	18212.0	70331.0	62292.380952380954	63134.5	24540.0	115878.0	123080.75	89328.16666666667	20288.0	24516.5	69541.5	185898.5	12180.5
X3b.15b.17a.Trihydroxy.pregnenone	1248.0	6479.0	2582.5	4600.0	3750.5	3119.1666666666665	4080.5	2854.5	2345.0	3201.0	3336.9285714285716	2931.25	3597.0	3855.5	4431.25	3062.3333333333335	3128.0	5124.0	5880.333333333333	3470.5	26462.0
X.S..Reticuline	827.0	4973.0	1066.0	1530.5	2046.75	1349.6666666666667	1503.0	1862.5	1132.5	1464.75	1647.3095238095239	2040.75	2599.5	1372.6666666666667	1857.0	1425.0	2148.0	1686.5	2292.0	1999.0	2635.5
Monoacylglyceride.with.formula.C21H36O4	816.5	1658.0	1128.0	1863.0	1265.5	1235.8333333333333	2587.0	1187.0	1293.5	1176.0	1675.142857142857	1234.75	1871.5	1298.3333333333333	2072.75	1342.3333333333333	1604.0	2147.25	1885.0	1554.5	3293.25
Prostaglandin.F1a	1208.5	8141.5	1886.5	2499.5	2377.75	2316.5	5080.75	2815.5	1913.5	1919.75	3726.4285714285716	2702.25	3279.0	2627.8333333333335	2603.75	2391.0	3805.5	3607.0	3176.1666666666665	3399.8333333333335	4288.25
Tetracosahexaenoic.acid	836.5	27133.0	4590.0	4129.5	6883.75	15947.166666666666	4036.0	14029.0	3795.0	3736.25	32592.071428571428	6706.5	4081.0	6599.333333333333	3239.75	6481.333333333333	16178.0	13184.25	5025.666666666667	9109.166666666666	13626.0
X5.amino.1..5.phospho.D.ribosyl.imidazole.4.carboxylate	2390.5	7149.0	18683.0	15112.0	8310.5	12822.0	10382.5	11567.0	10937.0	10696.5	11580.97619047619	10494.0	9034.0	10043.0	8790.5	11651.0	9948.5	10309.75	9613.166666666666	9719.666666666666	8409.5
Aldosterone	1757.0	11481.0	2617.0	3040.5	3337.0	3227.3333333333335	3660.0	3996.0	3637.5	2908.25	3407.809523809524	3729.75	4274.5	3478.1666666666665	4819.0	3141.3333333333335	3248.5	5045.5	4328.666666666667	3410.3333333333335	13770.0
Monoacylglyceride.Phosphate.with.formula.C21H42O3	997.0	1597.0	816.0	907.5	1109.5	1360.1666666666667	1165.25	1573.5	1423.0	1084.5	2463.3571428571427	1092.75	1322.5	1132.6666666666667	2469.5	904.3333333333334	2104.0	1596.0	3000.3333333333335	1151.3333333333333	1460.75
Phosphoribosyl.formamidocarboxamide	1414.0	10962.0	3755.0	4976.5	3425.25	3682.5	7657.5	6401.0	10244.0	7564.75	3950.2619047619046	9691.0	3861.5	7329.166666666667	4415.0	4056.3333333333335	8104.0	10339.0	8925.333333333334	3903.8333333333335	12071.25
Tetrahydrocortisol	2310.5	17568.0	5271.0	13445.0	17505.25	7942.666666666667	17997.75	7945.5	9202.5	6406.25	10544.690476190477	8119.75	7750.5	11208.5	9106.5	9694.166666666666	7038.5	10359.25	16760.5	6257.666666666667	94850.75
Nervonic.acid	3157.5	2512.5	2327.0	2092.0	2717.0	3059.5	4195.0	4580.0	4724.5	2825.5	5954.357142857143	3330.75	3995.0	4161.166666666667	9437.5	3078.6666666666665	5886.5	4849.25	4863.0	3851.1666666666665	6809.25
Cortol	2550.5	5009.5	2879.0	5522.5	5526.25	5108.333333333333	7400.75	6247.5	4500.0	5903.25	8251.857142857143	5736.0	6776.5	7057.666666666667	6354.25	5486.0	9414.0	9407.0	9023.666666666666	6671.0	10220.25
X6.Keto.prostaglandin.F1a	1772.5	64478.5	3731.0	3768.0	7935.5	4215.0	6963.25	6867.5	5603.5	6077.5	7072.357142857143	11655.75	9819.0	6970.833333333333	6802.5	4689.666666666667	12363.0	8687.5	9195.333333333334	11270.166666666666	10225.75
X18.Hydroxycortisol	11836.0	33089.0	11746.0	23294.5	16569.0	26878.833333333332	19746.0	33357.0	14075.0	18751.5	20414.714285714286	9521.75	19047.5	20661.0	18063.25	25082.833333333332	14130.0	40591.0	30397.833333333332	18084.666666666668	86986.5
Leukotriene.B4.ethanolamide	361.0	9979.0	979.5	801.5	1918.25	1244.5	1484.75	1338.0	1215.0	1474.5	1861.5714285714287	1689.75	934.0	2263.1666666666665	1022.75	1134.5	1999.0	2148.75	1420.8333333333333	1377.3333333333333	2124.0
Rosmarinic.acid	7716.0	1429381.0	568174.5	54738.0	17018.0	324487.8333333333	130678.25	13496.5	25049.5	660505.75	186310.42857142858	207436.75	20174.5	115379.16666666667	28290.25	318775.0	40922.0	106732.5	73439.16666666667	36841.833333333336	846990.5
Bisnorcholic.acid	5448.0	46204.0	5881.0	5363.5	24992.0	5528.333333333333	7936.25	28680.5	4806.0	17826.0	9187.0	17018.5	6881.5	8206.5	32517.0	9012.833333333334	11437.5	25234.0	8135.5	9489.833333333334	6874.25
MG.20.3.11Z.14Z.17Z..0.0.0.0.	535.5	2199.5	1244.5	784.0	931.75	1114.8333333333333	1539.5	974.5	816.0	1188.75	956.8571428571429	1243.25	915.5	1156.5	1016.75	1040.5	1547.5	1923.5	1131.6666666666667	933.5	1963.5
Succinyladenosine	925.5	153930.5	5997.0	6634.5	8477.25	7929.0	5158.5	11149.0	11767.5	6261.0	4864.190476190476	9258.0	8727.0	7639.666666666667	7406.75	5881.0	13209.5	9164.75	7483.833333333333	6333.166666666667	28497.5
Monoacylglyceride.with.formula.C23H44O4	3085.5	2506.5	1864.5	2990.5	2160.75	2360.3333333333335	4767.5	2939.0	2782.0	2673.25	2832.3571428571427	2477.0	5439.5	2462.0	3302.75	2497.1666666666665	5810.0	2395.0	3154.8333333333335	3339.0	3832.75
Phosphoribosyl.pyrophosphate	2585.5	4403.5	2672.5	3569.0	2570.75	3100.3333333333335	3030.75	2459.5	3416.5	3233.75	2616.8333333333335	2483.5	3197.5	2954.0	2758.0	2587.3333333333335	2555.0	3035.75	3463.5	2862.5	3475.0
Finasteride	704.5	9021.5	2535.5	3535.0	7168.5	5603.833333333333	4996.0	16910.0	4874.0	5105.25	6413.4047619047615	11925.25	4631.5	7256.833333333333	4088.25	5541.166666666667	7324.0	12854.25	8264.5	13309.333333333334	8866.0
X7a.12a.Dihydroxy.3.oxo.4.cholenoic.acid	1049.5	4973.0	1412.5	1614.5	4553.5	1514.8333333333333	3011.75	2406.5	2434.5	2077.0	2786.5	2300.75	2271.5	3493.3333333333335	3989.0	3319.3333333333335	2521.5	3168.5	3025.1666666666665	2767.3333333333335	3737.75
X13E.Tetranor.16.carboxy.LTE4	664.5	2768.0	1690.5	2870.0	1765.5	1485.5	1724.0	1576.5	2408.0	3251.75	1403.0714285714287	3949.5	2108.0	1710.1666666666667	2881.5	1697.8333333333333	1842.5	1426.25	2743.5	1788.5	2422.5
Pravastatin	627.5	3310.0	1250.5	1327.5	2982.75	1145.0	2260.0	1976.5	1792.0	1703.25	1612.0	2104.0	2128.0	1855.8333333333333	2769.25	1582.5	1741.0	2337.25	2129.0	2248.8333333333335	2913.25
Chitobiose	1250.5	15927.5	1665.5	5473.5	1833.25	3160.1666666666665	4694.25	2063.0	2551.0	2861.25	3222.7619047619046	5982.25	2021.5	4520.5	2269.5	3449.8333333333335	2653.0	4820.75	4004.8333333333335	2921.1666666666665	3094.0
ADP	14893.0	7135.5	176698.0	108635.5	94192.75	137763.16666666666	48098.25	74191.0	54652.5	93702.75	90942.52380952382	52216.75	62412.0	186549.83333333334	133767.5	160219.66666666666	44983.5	39283.5	85627.33333333333	137908.0	31203.25
Ketoprofen.glucuronide	967.5	45350.5	3268.5	2031.0	2372.75	2242.1666666666665	2729.25	3297.5	2761.0	3025.0	2345.1428571428573	6465.75	1828.0	2291.0	1761.5	2474.5	2436.5	5239.0	3381.0	2066.3333333333335	3121.5
X17.Hydroxypregnenolone.sulfate	1367.0	6634.5	2349.0	2315.0	3233.25	3381.6666666666665	4059.5	3307.5	3122.0	3569.0	2744.8571428571427	3940.25	3035.0	2885.3333333333335	2550.5	2765.3333333333335	3707.5	4427.0	5117.666666666667	3014.1666666666665	5014.75
