@format=row	D2B6F1	BXD48	BXD44	BXD51	BXD86	BXD77	BXD9	BXD65	BXD60	BXD50	BXD40	BXD43	BXD24	BXD89	BXD63	BXD45	BXD69	BXD64	BXD27	BXD95	BXD102	BXD34	BXD100	BXD70	BXD101	DBA/2J	BXD84	BXD62	BXD65b	BXD87	BXD98	C57BL/6J	B6D2F1	BXD73b	BXD29	BXD32	BXD48a	BXD90	BXD61	BXD79	BXD66
X2.Isopropyl.3.oxosuccinate	4526.875	15813.5	9795.0	2283.0	2888.25	2321.0	5373.25	2250.5	7438.0	4472.5	13607.5	2174.5	15724.5	2601.5	2627.5	2216.0	2567.75	2208.5	5086.75	2534.0	4211.125	3150.0	3261.75	8986.0	2331.0	7500.666666666667	2529.5	3206.5	2192.375	3169.0	3252.0	5720.6	3639.25	2440.75	3520.625	3156.125	2757.125	2654.1666666666665	2324.25	2536.8333333333335	12284.0
N.Acetylasparagine	6076.25	103478.5	10103.0	6300.75	4060.75	3734.8333333333335	5612.0	6451.75	3410.5	5104.5	5414.5	6280.166666666667	772604.5	4193.5	13257.5	6405.0	4574.0	3726.25	6380.25	3565.5	6283.625	5823.5	7019.5	3206.5	4898.833333333333	9462.666666666666	4830.25	4925.75	8732.875	6043.75	7782.75	4889.7	4938.0	4772.5	6167.875	4763.875	4462.125	6387.833333333333	7702.25	7059.166666666667	4870.5
Suberic.acid	11594.375	66353.0	15124.5	10711.5	12324.5	11025.666666666666	11973.0	12118.75	14637.75	13644.5	16279.5	12439.666666666666	20999.0	12000.5	11964.0	7954.0	15614.5	10631.75	15222.0	12805.25	13839.625	13862.5	9899.25	20743.0	11358.0	14177.5	12086.5	12903.5	7472.25	14277.25	13019.0	25898.2	12752.5	11246.0	15056.625	10617.375	13692.375	13220.333333333334	13305.75	11610.0	64380.75
N.Acetylornithine	4343.25	923685.5	3872.5	4569.5	3475.5	3709.1666666666665	3222.75	3977.5	5244.0	4887.0	6288.0	4369.833333333333	74006.0	4341.75	5191.0	4300.5	5974.0	6101.75	5207.5	3597.25	5918.625	4503.5	4902.0	5597.0	5879.0	6600.333333333333	9317.25	4160.5	4139.375	6614.0	4535.0	5166.2	4680.333333333333	5663.0	6574.25	4844.875	4450.75	4945.0	4400.25	6329.333333333333	7176.25
N.Acetyl.L.aspartic.acid	6295.875	155017.5	16994.5	10330.5	3683.5	8901.166666666666	8541.0	8127.5	7544.0	5036.5	11880.0	9065.333333333334	771954.0	4407.75	10799.0	64331.0	17124.0	5531.25	6490.75	9481.0	7221.625	3651.0	7930.5	4526.0	14983.5	18788.166666666668	7786.0	24605.5	21434.5	67949.75	9926.75	10622.2	6913.833333333333	10107.0	38273.875	9691.5	9334.125	29663.5	37572.25	30979.166666666668	8501.0
N.Carboxyethyl.g.aminobutyric.acid	1335.875	132926.5	1540.0	1407.0	1057.25	1083.8333333333333	1037.0	1277.25	1452.5	1210.0	1381.0	1384.6666666666667	35292.5	1414.75	1374.0	1664.5	1558.0	1498.5	1266.0	1128.75	1565.0	1147.0	1591.25	1205.5	1484.6666666666667	1876.6666666666667	1875.5	1311.5	1673.375	2121.75	1526.5	1700.5	1275.25	1356.25	1956.25	1618.0	1571.0	1565.5	1743.0	1834.6666666666667	1923.0
Citrulline	4985.0	306155.0	6039.0	6942.0	5018.25	5962.5	5728.5	5090.0	6338.5	6079.0	6760.5	6324.333333333333	7401.5	4499.0	6706.0	10691.5	5710.25	3702.0	8475.75	3522.0	7010.0	5372.0	5486.0	11423.0	7244.333333333333	7199.0	6350.5	6128.75	5681.625	7647.75	6042.25	6936.2	5515.75	4677.5	12186.625	5048.875	4990.25	6176.333333333333	5904.0	7640.333333333333	9735.25
D.Glucurono.6.3.lactone	1883607.25	9433.5	1421658.0	3645568.25	1244348.25	4463942.0	1644470.0	2878491.75	1933441.5	903257.5	3189313.5	1611750.8333333333	16849.0	1467224.75	2854183.5	1261078.5	233937.75	255508.5	651440.0	1326766.75	557620.25	621314.0	164708.0	2031315.5	1417611.6666666667	2204269.0	472637.0	3647619.0	1073999.75	1129609.25	3588920.25	2723181.7	1998572.5	135628.25	1450123.25	1078047.0	1513451.875	2283570.3333333335	665225.25	292874.1666666667	1563445.0
Serotonin	4342.625	15617.0	3219.0	6505.25	3100.75	8243.166666666666	3948.5	5248.75	3792.25	2652.5	6144.5	3843.8333333333335	5408.5	3427.75	4145.0	2430.5	3249.25	3159.25	3275.0	2694.25	2706.0	2371.0	2014.25	3995.5	3366.3333333333335	6228.333333333333	4666.5	6796.0	2353.75	3652.25	6426.0	6641.7	4012.5	2909.75	3296.625	5710.5	3790.125	4318.5	2728.5	2661.3333333333335	6799.25
X5.Phenylvaleric.acid	4078.375	7345.0	5645.5	3245.0	3977.25	3197.1666666666665	3794.25	3834.75	4004.25	2810.5	3558.5	3661.1666666666665	5991.5	3844.0	3950.5	3612.5	3681.75	4166.0	5326.75	4755.25	4499.25	6305.0	3971.0	4206.0	3500.3333333333335	5389.666666666667	3820.25	3749.25	3398.375	4188.0	4830.5	4378.2	4217.916666666667	3939.5	3875.5	4088.5	4760.875	3681.5	4236.0	4001.8333333333335	10675.25
